2015-12-07 10:20:06,273 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: org.zerock:controller:1.0.0-BUILD-SNAPSHOT @ /Users/dimenter/Programming/JAVA/Spring/ex01/pom.xml.
2015-12-07 13:43:33,207 [Worker-86] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-07 13:43:33,207 [Worker-86] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-12-07 13:47:50,950 [Worker-88] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-07 13:47:50,951 [Worker-88] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2015-12-07 13:47:50,952 [Worker-88] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-07 13:47:50,957 [Worker-88] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-12-07 13:48:01,598 [Worker-87] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-07 13:48:01,599 [Worker-87] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2015-12-07 13:48:01,600 [Worker-87] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-07 13:48:01,605 [Worker-87] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-12-07 13:48:10,023 [Worker-80] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-07 13:48:10,024 [Worker-80] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2015-12-07 13:48:10,025 [Worker-80] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-07 13:48:10,030 [Worker-80] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-12-07 13:48:26,628 [Worker-91] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-07 13:48:26,629 [Worker-91] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2015-12-07 13:48:26,630 [Worker-91] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-07 13:48:26,635 [Worker-91] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
